Name: شارع اسماعيل, Instruction: Head east on شارع اسماعيل, Distance: 16.0 meters, Time: 11.5 seconds
Name: شارع المغرية, Instruction: Turn right onto شارع المغرية, Distance: 94.3 meters, Time: 67.9 seconds
Name: شارع حافظ, Instruction: Turn right onto شارع حافظ, Distance: 47.4 meters, Time: 34.1 seconds
Name: شارع حافظ, Instruction: Turn slight left onto شارع حافظ, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 201.0 meters, Time: 144.7 seconds
Name: شارع بن الفارض, Instruction: Turn right onto شارع بن الفارض, Distance: 93.5 meters, Time: 67.4 seconds
Name: شارع الفارسى, Instruction: Turn left onto شارع الفارسى, Distance: 369.5 meters, Time: 266.0 seconds
Name: شارع ابراهيم سالم, Instruction: Turn left onto شارع ابراهيم سالم, Distance: 283.7 meters, Time: 204.3 seconds
Name: حارة احمد حجازى, Instruction: Turn right onto حارة احمد حجازى, Distance: 26.2 meters, Time: 18.9 seconds
Name: حارة بدوي افندي, Instruction: Turn right onto حارة بدوي افندي, Distance: 12.6 meters, Time: 9.1 seconds
Name: حارة الاسيوطي, Instruction: Turn left onto حارة الاسيوطي, Distance: 174.6 meters, Time: 125.7 seconds
Name: شارع الشيخ عبد العزيز الشبي, Instruction: Turn right onto شارع الشيخ عبد العزيز الشبي, Distance: 34.8 meters, Time: 25.1 seconds
Name: شارع الامام الشافعي, Instruction: Turn left onto شارع الامام الشافعي, Distance: 323.5 meters, Time: 232.9 seconds
Name: شارع رابعه العدويه, Instruction: Turn right onto شارع رابعه العدويه, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn right, Distance: 133.7 meters, Time: 96.2 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 96.5 meters, Time: 69.5 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 59.9 meters, Time: 43.2 seconds
Name: شارع بنى قرافه, Instruction: Turn right onto شارع بنى قرافه, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: شارع الخيالة, Instruction: Turn left onto شارع الخيالة, Distance: 11.7 meters, Time: 8.4 seconds
Name: طريق الثلاثين, Instruction: Turn right onto طريق الثلاثين, Distance: 136.2 meters, Time: 98.1 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn slight right, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Turn right, Distance: 46.6 meters, Time: 33.6 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
