Name: Calle Adriano Brower, Instruction: Head north on Calle Adriano Brower, Distance: 103.5 meters, Time: 74.5 seconds
Name: Calle Tiziano, Instruction: Turn right onto Calle Tiziano, Distance: 144.7 meters, Time: 104.2 seconds
Name: Calle Tiziano, Instruction: Continue straight onto Calle Tiziano, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 117.6 meters, Time: 84.6 seconds
Name: -, Instruction: Turn right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Calle Giovanni Sassoferrato, Instruction: Turn left onto Calle Giovanni Sassoferrato, Distance: 5.8 meters, Time: 4.2 seconds
Name: Calle Benvenuto Cellini, Instruction: Turn right onto Calle Benvenuto Cellini, Distance: 98.1 meters, Time: 70.6 seconds
Name: Ferrocarril a Cuernavaca, Instruction: Turn left onto Ferrocarril a Cuernavaca, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 114.3 meters, Time: 82.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 60.9 meters, Time: 43.8 seconds
Name: Calle Benvenuto Cellini, Instruction: Turn left onto Calle Benvenuto Cellini, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
