Name: Rue Geoffroy l'Angevin, Instruction: Head northwest on Rue Geoffroy l'Angevin, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep left, Distance: 0.5 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 116.3 meters, Time: 83.8 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.7 seconds
Name: Rue Rambuteau, Instruction: Turn left onto Rue Rambuteau, Distance: 235.5 meters, Time: 169.6 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 50.3 meters, Time: 36.2 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: Rue de la Grande Truanderie, Instruction: Continue straight onto Rue de la Grande Truanderie, Distance: 47.8 meters, Time: 34.4 seconds
Name: Rue Saint-Denis, Instruction: Turn right onto Rue Saint-Denis, Distance: 117.3 meters, Time: 84.5 seconds
Name: -, Instruction: Continue straight, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue Saint-Denis, Instruction: Turn slight left onto Rue Saint-Denis, Distance: 675.8 meters, Time: 486.5 seconds
Name: Boulevard de Bonne Nouvelle, Instruction: Turn left onto Boulevard de Bonne Nouvelle, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn slight left, Distance: 61.8 meters, Time: 44.5 seconds
Name: -, Instruction: Turn slight right, Distance: 117.2 meters, Time: 84.4 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Rue d'Hauteville, Instruction: Turn right onto Rue d'Hauteville, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
