Name: Route du Camp de Saint-Maur, Instruction: Head southwest on Route du Camp de Saint-Maur, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 221.3 meters, Time: 159.3 seconds
Name: Route du Champ de Manœuvre, Instruction: Turn left onto Route du Champ de Manœuvre, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 206.4 meters, Time: 148.6 seconds
Name: -, Instruction: Keep left, Distance: 399.8 meters, Time: 287.9 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 368.1 meters, Time: 265.0 seconds
Name: -, Instruction: Turn right, Distance: 168.1 meters, Time: 121.0 seconds
Name: Allée des Chênes, Instruction: Keep right onto Allée des Chênes, Distance: 10.8 meters, Time: 7.8 seconds
Name: Allée des Pivoines, Instruction: Turn right onto Allée des Pivoines, Distance: 55.6 meters, Time: 40.0 seconds
Name: Allée des Pivoines, Instruction: Keep left onto Allée des Pivoines, Distance: 49.9 meters, Time: 36.0 seconds
Name: Allée des Pins, Instruction: Turn left onto Allée des Pins, Distance: 6.0 meters, Time: 4.3 seconds
Name: Allée des Pins, Instruction: Continue straight onto Allée des Pins, Distance: 31.7 meters, Time: 22.9 seconds
Name: -, Instruction: Arrive at Allée des Pins, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
