Name: Buscomb Avenue, Instruction: Head southwest on Buscomb Avenue, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 200.8 meters, Time: 144.6 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 160.4 meters, Time: 115.5 seconds
Name: -, Instruction: Turn slight right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Turn slight right, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 63.8 meters, Time: 46.0 seconds
Name: Sturges Shared Path, Instruction: Keep right onto Sturges Shared Path, Distance: 16.9 meters, Time: 12.1 seconds
Name: Sturges Shared Path, Instruction: Turn left onto Sturges Shared Path, Distance: 190.6 meters, Time: 137.3 seconds
Name: Neta Grove, Instruction: Turn right onto Neta Grove, Distance: 301.5 meters, Time: 217.1 seconds
Name: Neta Grove, Instruction: Turn left onto Neta Grove, Distance: 113.2 meters, Time: 81.5 seconds
Name: Albizia Avenue, Instruction: Turn right onto Albizia Avenue, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 79.4 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn slight right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 103.8 meters, Time: 74.8 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Espalier Drive, Instruction: Turn right onto Espalier Drive, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: Hillwell Drive, Instruction: Turn left onto Hillwell Drive, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 60.9 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Braestar Court, Instruction: Turn right onto Braestar Court, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Arrive at Braestar Court, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
