Name: Fitzroy Street, Instruction: Head south on Fitzroy Street, Distance: 14.3 meters, Time: 10.3 seconds
Name: Richmond Road, Instruction: Turn right onto Richmond Road, Distance: 28.0 meters, Time: 20.2 seconds
Name: Leighton Street, Instruction: Turn left onto Leighton Street, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 191.3 meters, Time: 137.7 seconds
Name: -, Instruction: Turn left, Distance: 141.8 meters, Time: 102.1 seconds
Name: -, Instruction: Turn right, Distance: 109.5 meters, Time: 78.8 seconds
Name: Chamberlain Street, Instruction: Turn left onto Chamberlain Street, Distance: 7.0 meters, Time: 5.1 seconds
Name: Rose Road, Instruction: Turn right onto Rose Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 122.1 meters, Time: 87.9 seconds
Name: -, Instruction: Keep right, Distance: 112.7 meters, Time: 81.2 seconds
Name: -, Instruction: Keep right, Distance: 64.7 meters, Time: 46.6 seconds
Name: Baildon Road, Instruction: Turn right onto Baildon Road, Distance: 475.1 meters, Time: 342.1 seconds
Name: -, Instruction: Turn left, Distance: 135.1 meters, Time: 97.3 seconds
Name: -, Instruction: Turn right, Distance: 108.8 meters, Time: 78.3 seconds
Name: Stanmore Road, Instruction: Turn left onto Stanmore Road, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 219.7 meters, Time: 158.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
