Name: Marsiling Industrial Estate Road 3, Instruction: Head west on Marsiling Industrial Estate Road 3, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 128.0 meters, Time: 92.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 310.7 meters, Time: 223.7 seconds
Name: Woodlands (Ave 3) Park Connector, Instruction: Turn left onto Woodlands (Ave 3) Park Connector, Distance: 4.9 meters, Time: 3.5 seconds
Name: Woodlands (Ave 3) Park Connector, Instruction: Turn right onto Woodlands (Ave 3) Park Connector, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Continue straight, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn slight right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 274.7 meters, Time: 197.8 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 162.1 meters, Time: 116.7 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn right, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Woodgrove Drive, Instruction: Turn left onto Woodgrove Drive, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 318.5 meters, Time: 229.3 seconds
Name: Pinewood Grove, Instruction: Turn left onto Pinewood Grove, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at Pinewood Grove, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
