Name: Rue de Montpensier, Instruction: Head north on Rue de Montpensier, Distance: 198.8 meters, Time: 143.2 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 112.8 meters, Time: 81.2 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Rue des Petits Champs, Instruction: Turn left onto Rue des Petits Champs, Distance: 163.1 meters, Time: 117.5 seconds
Name: -, Instruction: Turn right, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Keep left, Distance: 185.2 meters, Time: 133.3 seconds
Name: -, Instruction: Keep left, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn left, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Turn right, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 78.5 meters, Time: 56.6 seconds
Name: -, Instruction: Keep left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep right, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Keep right, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Keep right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Keep right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn slight right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Keep left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn slight left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 57.6 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
