Name: Mettenstraße, Instruction: Head south on Mettenstraße, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 517.9 meters, Time: 372.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Volpinistraße, Instruction: Turn left onto Volpinistraße, Distance: 6.5 meters, Time: 4.7 seconds
Name: Nederlinger Straße, Instruction: Turn right onto Nederlinger Straße, Distance: 714.3 meters, Time: 514.3 seconds
Name: Malsenstraße, Instruction: Turn left onto Malsenstraße, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 123.0 meters, Time: 88.6 seconds
Name: Nördliche Auffahrtsallee, Instruction: Turn left onto Nördliche Auffahrtsallee, Distance: 62.7 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
