Name: شارع ابو منصور الموفق, Instruction: Head east on شارع ابو منصور الموفق, Distance: 152.5 meters, Time: 109.8 seconds
Name: شارع الشهيد عادل منصور, Instruction: Turn left onto شارع الشهيد عادل منصور, Distance: 10.3 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 61.9 meters, Time: 44.6 seconds
Name: شارع الشهيد محمد محمود, Instruction: Turn right onto شارع الشهيد محمد محمود, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight left, Distance: 77.0 meters, Time: 55.4 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 51.2 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: محور مصطفى كامل, Instruction: Turn right onto محور مصطفى كامل, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: محور مصطفى كامل, Instruction: Turn left onto محور مصطفى كامل, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: محور مصطفى كامل الجانبى, Instruction: Turn left onto محور مصطفى كامل الجانبى, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Turn right, Distance: 268.7 meters, Time: 193.5 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: شارع الإمام البوصيري, Instruction: Turn left onto شارع الإمام البوصيري, Distance: 284.4 meters, Time: 204.7 seconds
Name: شارع أم كلثوم, Instruction: Turn left onto شارع أم كلثوم, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight left, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 138.3 meters, Time: 99.6 seconds
Name: شارع الشهيد امام عبد المنعم, Instruction: Turn right onto شارع الشهيد امام عبد المنعم, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
