Name: Rue d'Estienne d'Orves, Instruction: Head southwest on Rue d'Estienne d'Orves, Distance: 168.3 meters, Time: 121.2 seconds
Name: Rue Ambroise Croizat, Instruction: Turn left onto Rue Ambroise Croizat, Distance: 11.7 meters, Time: 8.4 seconds
Name: Rue Lénine, Instruction: Turn right onto Rue Lénine, Distance: 318.1 meters, Time: 229.0 seconds
Name: Avenue des Arts, Instruction: Turn left onto Avenue des Arts, Distance: 231.3 meters, Time: 166.6 seconds
Name: -, Instruction: Continue straight, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Keep left, Distance: 58.5 meters, Time: 42.1 seconds
Name: Rue du Général Leclerc, Instruction: Turn right onto Rue du Général Leclerc, Distance: 60.9 meters, Time: 43.8 seconds
Name: Avenue des Roses, Instruction: Turn sharp left onto Avenue des Roses, Distance: 170.0 meters, Time: 122.4 seconds
Name: Avenue des Camélias, Instruction: Turn left onto Avenue des Camélias, Distance: 54.7 meters, Time: 39.4 seconds
Name: Rue Robespierre, Instruction: Turn sharp left onto Rue Robespierre, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.0 seconds
Name: -, Instruction: Turn slight right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue des Champeaux, Instruction: Turn right onto Rue des Champeaux, Distance: 9.1 meters, Time: 6.5 seconds
Name: Rue des Champeaux, Instruction: Turn left onto Rue des Champeaux, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Turn right, Distance: 78.3 meters, Time: 56.3 seconds
Name: -, Instruction: Turn right, Distance: 163.6 meters, Time: 117.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.7 meters, Time: 7.0 seconds
Name: Rue Joseph Python, Instruction: Turn right onto Rue Joseph Python, Distance: 136.1 meters, Time: 98.0 seconds
Name: -, Instruction: Arrive at Rue Joseph Python, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
