Name: Rue Dieulafoy, Instruction: Head north on Rue Dieulafoy, Distance: 123.7 meters, Time: 89.0 seconds
Name: Rue Henri Pape, Instruction: Turn right onto Rue Henri Pape, Distance: 41.0 meters, Time: 29.5 seconds
Name: Rue du Moulin des Prés, Instruction: Turn left onto Rue du Moulin des Prés, Distance: 440.0 meters, Time: 316.8 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight right, Distance: 4.2 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 109.7 meters, Time: 78.9 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: Rue Jonas, Instruction: Turn right onto Rue Jonas, Distance: 88.6 meters, Time: 63.8 seconds
Name: Rue Eugène Atget, Instruction: Turn right onto Rue Eugène Atget, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 68.9 meters, Time: 49.6 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue Corvisart, Instruction: Turn right onto Rue Corvisart, Distance: 288.4 meters, Time: 207.6 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn slight left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 264.5 meters, Time: 190.4 seconds
Name: -, Instruction: Turn left, Distance: 247.0 meters, Time: 177.9 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight right, Distance: 146.0 meters, Time: 105.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
