Name: East 9th Avenue, Instruction: Head east on East 9th Avenue, Distance: 174.2 meters, Time: 125.4 seconds
Name: North Roslyn Street, Instruction: Turn right onto North Roslyn Street, Distance: 169.4 meters, Time: 122.0 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Keep left, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn slight left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Keep left, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Keep left, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
