Name: Sherbourne Street, Instruction: Head north on Sherbourne Street, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 306.6 meters, Time: 220.7 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.8 seconds
Name: Lombard Street, Instruction: Turn right onto Lombard Street, Distance: 234.3 meters, Time: 168.7 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: Spice Mill Lane, Instruction: Turn left onto Spice Mill Lane, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 925.8 meters, Time: 666.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
