Name: Valentin-Linhof-Straße, Instruction: Head south on Valentin-Linhof-Straße, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Turn right, Distance: 696.5 meters, Time: 501.4 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 598.9 meters, Time: 431.2 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 101.6 meters, Time: 73.2 seconds
Name: Wardeinstraße, Instruction: Turn right onto Wardeinstraße, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 176.7 meters, Time: 127.2 seconds
Name: Damaschkestraße, Instruction: Turn right onto Damaschkestraße, Distance: 108.2 meters, Time: 77.9 seconds
Name: Brachsenstraße, Instruction: Turn left onto Brachsenstraße, Distance: 249.2 meters, Time: 179.4 seconds
Name: -, Instruction: Turn left, Distance: 83.8 meters, Time: 60.3 seconds
Name: Marianne-Plehn-Straße, Instruction: Turn right onto Marianne-Plehn-Straße, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
