Name: Rue Bréguet, Instruction: Head southwest on Rue Bréguet, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rue Saint-Sabin, Instruction: Turn left onto Rue Saint-Sabin, Distance: 7.7 meters, Time: 5.6 seconds
Name: Rue Saint-Sabin, Instruction: Turn slight left onto Rue Saint-Sabin, Distance: 239.9 meters, Time: 172.7 seconds
Name: Rue Daval, Instruction: Turn left onto Rue Daval, Distance: 10.2 meters, Time: 7.3 seconds
Name: Rue de Lappe, Instruction: Turn slight left onto Rue de Lappe, Distance: 279.9 meters, Time: 201.6 seconds
Name: Rue de Charonne, Instruction: Turn right onto Rue de Charonne, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 102.2 meters, Time: 73.6 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn slight left, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Keep right, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn left, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
