Name: Rue Boussingault, Instruction: Head southeast on Rue Boussingault, Distance: 154.2 meters, Time: 111.0 seconds
Name: -, Instruction: Turn left, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn slight right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 141.4 meters, Time: 101.8 seconds
Name: -, Instruction: Turn slight right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 68.9 meters, Time: 49.6 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Rue Küss, Instruction: Turn left onto Rue Küss, Distance: 263.9 meters, Time: 190.0 seconds
Name: Rue du Docteur Tuffier, Instruction: Enter the roundabout and take the 2nd exit onto Rue du Docteur Tuffier, Distance: 634.1 meters, Time: 456.5 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 75.7 meters, Time: 54.5 seconds
Name: Villa d'Este, Instruction: Turn left onto Villa d'Este, Distance: 267.5 meters, Time: 192.6 seconds
Name: Villa d'Este, Instruction: Turn slight left onto Villa d'Este, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 279.5 meters, Time: 201.2 seconds
Name: -, Instruction: Turn slight left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Keep left, Distance: 181.0 meters, Time: 130.3 seconds
Name: -, Instruction: Turn left, Distance: 65.6 meters, Time: 47.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
