Name: Harvie Avenue, Instruction: Head south on Harvie Avenue, Distance: 159.1 meters, Time: 114.5 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 400.6 meters, Time: 288.4 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Keep left, Distance: 73.1 meters, Time: 52.6 seconds
Name: Prescott Avenue, Instruction: Turn right onto Prescott Avenue, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 74.6 meters, Time: 53.7 seconds
Name: Blackthorn Avenue, Instruction: Turn right onto Blackthorn Avenue, Distance: 247.1 meters, Time: 177.9 seconds
Name: Rockwell Avenue, Instruction: Turn left onto Rockwell Avenue, Distance: 129.5 meters, Time: 93.3 seconds
Name: Silverthorn Avenue, Instruction: Turn right onto Silverthorn Avenue, Distance: 216.0 meters, Time: 155.5 seconds
Name: Turnberry Avenue, Instruction: Turn left onto Turnberry Avenue, Distance: 44.2 meters, Time: 31.9 seconds
Name: -, Instruction: Arrive at Turnberry Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
