Name: Western Gateway, Instruction: Head east on Western Gateway, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Turn slight right, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Continue straight, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 205.9 meters, Time: 148.3 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: Freemasons Road, Instruction: Turn left onto Freemasons Road, Distance: 20.6 meters, Time: 14.9 seconds
Name: Ethel Road, Instruction: Turn right onto Ethel Road, Distance: 135.9 meters, Time: 97.9 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: Leslie Road, Instruction: Turn right onto Leslie Road, Distance: 15.8 meters, Time: 11.4 seconds
Name: Leslie Road, Instruction: Turn left onto Leslie Road, Distance: 90.2 meters, Time: 64.9 seconds
Name: Leslie Road, Instruction: Turn right onto Leslie Road, Distance: 54.5 meters, Time: 39.2 seconds
Name: Garvary Road, Instruction: Turn right onto Garvary Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: Garvary Road, Instruction: Turn right onto Garvary Road, Distance: 295.4 meters, Time: 212.7 seconds
Name: Prince Regent Lane, A112, Instruction: Turn left onto Prince Regent Lane, A112, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at Prince Regent Lane, A112, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
