Name: Gerald Crescent, Instruction: Head north on Gerald Crescent, Distance: 168.9 meters, Time: 121.6 seconds
Name: Toole Street, Instruction: Turn left onto Toole Street, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 339.6 meters, Time: 244.5 seconds
Name: -, Instruction: Keep left, Distance: 181.7 meters, Time: 130.8 seconds
Name: Richmond Rd Shared Path, Instruction: Turn left onto Richmond Rd Shared Path, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 144.1 meters, Time: 103.8 seconds
Name: -, Instruction: Turn left, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: Doon Street, Instruction: Turn left onto Doon Street, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at Doon Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
