Name: Rua Ouricuri, Instruction: Head southwest on Rua Ouricuri, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: Rua Doutor Oswaldo Serra Macedo, Instruction: Turn right onto Rua Doutor Oswaldo Serra Macedo, Distance: 25.2 meters, Time: 18.1 seconds
Name: Avenida Almirante Frontin, Instruction: Turn sharp right onto Avenida Almirante Frontin, Distance: 301.5 meters, Time: 217.1 seconds
Name: Avenida Almirante Frontin, Instruction: Continue straight onto Avenida Almirante Frontin, Distance: 132.7 meters, Time: 95.5 seconds
Name: Avenida Almirante Frontin, Instruction: Continue straight onto Avenida Almirante Frontin, Distance: 89.2 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 312.3 meters, Time: 224.8 seconds
Name: Rua Tambaú, Instruction: Turn left onto Rua Tambaú, Distance: 2.9 meters, Time: 2.1 seconds
Name: Avenida Brasil, Instruction: Turn right onto Avenida Brasil, Distance: 30.7 meters, Time: 22.1 seconds
Name: Avenida Teixeira de Castro, Instruction: Keep right onto Avenida Teixeira de Castro, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Keep left, Distance: 72.9 meters, Time: 52.5 seconds
Name: Avenida Teixeira de Castro, Instruction: Continue straight onto Avenida Teixeira de Castro, Distance: 204.1 meters, Time: 147.0 seconds
Name: Avenida Postal, Instruction: Turn sharp left onto Avenida Postal, Distance: 244.7 meters, Time: 176.2 seconds
Name: -, Instruction: Turn right, Distance: 122.3 meters, Time: 88.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 47.3 meters, Time: 34.1 seconds
Name: Avenida Brasil, Instruction: Turn right onto Avenida Brasil, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn right, Distance: 77.8 meters, Time: 56.0 seconds
Name: Rua da Regeneração, Instruction: Turn right onto Rua da Regeneração, Distance: 19.4 meters, Time: 13.9 seconds
Name: Avenida dos Campeões, Instruction: Turn left onto Avenida dos Campeões, Distance: 163.5 meters, Time: 117.7 seconds
Name: -, Instruction: Arrive at Avenida dos Campeões, on the right, Distance: 0.0 meters, Time: 0.0 seconds
