Name: Atlee Street, Instruction: Head north on Atlee Street, Distance: 276.7 meters, Time: 199.2 seconds
Name: Leffler Street, Instruction: Turn right onto Leffler Street, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Keep right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 100.1 meters, Time: 72.0 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.8 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: Carden Street, Instruction: Turn right onto Carden Street, Distance: 214.3 meters, Time: 154.3 seconds
Name: Evans Street, Instruction: Turn right onto Evans Street, Distance: 211.2 meters, Time: 152.1 seconds
Name: -, Instruction: Arrive at Evans Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
