Name: Calle Picos Vi B Andador 9, Instruction: Head south on Calle Picos Vi B Andador 9, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 118.6 meters, Time: 85.4 seconds
Name: Calle Ingenieros Petroleros, Instruction: Turn left onto Calle Ingenieros Petroleros, Distance: 72.6 meters, Time: 52.2 seconds
Name: Baja California, Instruction: Turn left onto Baja California, Distance: 51.1 meters, Time: 36.8 seconds
Name: Avenida Canal de Apatlaco, Instruction: Turn right onto Avenida Canal de Apatlaco, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 24.3 meters, Time: 17.5 seconds
Name: Avenida Río Churubusco, Instruction: Turn left onto Avenida Río Churubusco, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Turn left, Distance: 121.8 meters, Time: 87.7 seconds
Name: Avenida Río Churubusco, Instruction: Turn left onto Avenida Río Churubusco, Distance: 57.1 meters, Time: 41.1 seconds
Name: Cerrada Lenguas Indígenas, Instruction: Turn right onto Cerrada Lenguas Indígenas, Distance: 499.3 meters, Time: 359.5 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 59.0 seconds
Name: Calle Amuzgo, Instruction: Turn slight left onto Calle Amuzgo, Distance: 248.6 meters, Time: 179.0 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: Calle Puente Santa Ana, Instruction: Turn left onto Calle Puente Santa Ana, Distance: 188.3 meters, Time: 135.6 seconds
Name: Calle Puente Santa Ana, Instruction: Turn slight right onto Calle Puente Santa Ana, Distance: 225.9 meters, Time: 162.7 seconds
Name: Calle Sur 177, Instruction: Turn left onto Calle Sur 177, Distance: 35.5 meters, Time: 25.6 seconds
Name: Calle Oriente 118, Instruction: Turn right onto Calle Oriente 118, Distance: 133.2 meters, Time: 95.9 seconds
Name: Canal Río Churubusco, EJE 4 OTE, Instruction: Turn sharp right onto Canal Río Churubusco, EJE 4 OTE, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 59.7 meters, Time: 43.0 seconds
Name: Canal Río Churubusco, Instruction: Turn left onto Canal Río Churubusco, Distance: 58.7 meters, Time: 42.3 seconds
Name: Avenida Río Soto La Marina, Instruction: Turn right onto Avenida Río Soto La Marina, Distance: 301.7 meters, Time: 217.2 seconds
Name: -, Instruction: Arrive at Avenida Río Soto La Marina, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
