Name: Bechsteinstraße, Instruction: Head west on Bechsteinstraße, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 200.7 meters, Time: 144.5 seconds
Name: -, Instruction: Keep left, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 444.9 meters, Time: 320.3 seconds
Name: -, Instruction: Turn right, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 169.2 meters, Time: 121.8 seconds
Name: -, Instruction: Turn right, Distance: 262.7 meters, Time: 189.1 seconds
Name: Rudolf-Harbig-Weg, Instruction: Turn right onto Rudolf-Harbig-Weg, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn left, Distance: 59.3 meters, Time: 42.7 seconds
Name: Spiridon-Louis-Ring, Instruction: Turn sharp left onto Spiridon-Louis-Ring, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 282.1 meters, Time: 203.1 seconds
Name: -, Instruction: Turn left, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Turn left, Distance: 59.4 meters, Time: 42.7 seconds
Name: -, Instruction: Keep left, Distance: 105.5 meters, Time: 76.0 seconds
Name: -, Instruction: Turn right, Distance: 122.2 meters, Time: 88.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
