Name: Garden Road, Instruction: Head south on Garden Road, Distance: 180.3 meters, Time: 129.8 seconds
Name: Remuera Road, Instruction: Turn sharp right onto Remuera Road, Distance: 113.5 meters, Time: 81.7 seconds
Name: Armadale Road, Instruction: Turn left onto Armadale Road, Distance: 146.5 meters, Time: 105.5 seconds
Name: Dromorne Road, Instruction: Turn right onto Dromorne Road, Distance: 145.7 meters, Time: 104.9 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 717.9 meters, Time: 516.9 seconds
Name: -, Instruction: Turn right, Distance: 105.3 meters, Time: 75.8 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Turn right, Distance: 113.0 meters, Time: 81.3 seconds
Name: -, Instruction: Turn left, Distance: 75.5 meters, Time: 54.4 seconds
Name: Tahuri Road, Instruction: Turn right onto Tahuri Road, Distance: 9.0 meters, Time: 6.5 seconds
Name: Cornwall Park Avenue, Instruction: Turn left onto Cornwall Park Avenue, Distance: 395.8 meters, Time: 285.0 seconds
Name: Market Road, Instruction: Turn left onto Market Road, Distance: 129.9 meters, Time: 93.5 seconds
Name: Wapiti Avenue, Instruction: Turn left onto Wapiti Avenue, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 407.6 meters, Time: 293.4 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
