Name: Kenwood Avenue, Instruction: Head southwest on Kenwood Avenue, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 880.0 meters, Time: 633.6 seconds
Name: Atlas Avenue, Instruction: Turn right onto Atlas Avenue, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep right, Distance: 136.5 meters, Time: 98.3 seconds
Name: -, Instruction: Keep left, Distance: 498.3 meters, Time: 358.7 seconds
Name: -, Instruction: Keep left, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Keep left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep right, Distance: 152.4 meters, Time: 109.7 seconds
Name: -, Instruction: Keep right, Distance: 92.3 meters, Time: 66.4 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 50.1 meters, Time: 36.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
