Name: Calle Pico de Peñalara, Instruction: Head northwest on Calle Pico de Peñalara, Distance: 14.5 meters, Time: 10.5 seconds
Name: Calle Pico de Sorata, Instruction: Turn left onto Calle Pico de Sorata, Distance: 195.5 meters, Time: 140.8 seconds
Name: Calle Sierra de Saslaya, Instruction: Turn right onto Calle Sierra de Saslaya, Distance: 280.6 meters, Time: 202.0 seconds
Name: -, Instruction: Keep left, Distance: 25.1 meters, Time: 18.1 seconds
Name: Calle Pico de Sorata, Instruction: Turn left onto Calle Pico de Sorata, Distance: 8.3 meters, Time: 6.0 seconds
Name: Calle Pico de Turquino, Instruction: Turn right onto Calle Pico de Turquino, Distance: 159.1 meters, Time: 114.5 seconds
Name: Boulevard Picacho Ajusco, Instruction: Turn slight right onto Boulevard Picacho Ajusco, Distance: 196.8 meters, Time: 141.7 seconds
Name: -, Instruction: Turn left, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 50.1 meters, Time: 36.1 seconds
Name: Boulevard Picacho Ajusco, Instruction: Turn right onto Boulevard Picacho Ajusco, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn right, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 138.9 meters, Time: 100.0 seconds
Name: -, Instruction: Turn left, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 289.8 meters, Time: 208.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.9 meters, Time: 7.1 seconds
Name: Boulevard Picacho Ajusco, Instruction: Turn sharp right onto Boulevard Picacho Ajusco, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
