Name: Cavendish Road, Instruction: Head south on Cavendish Road, Distance: 54.7 meters, Time: 39.4 seconds
Name: Devonshire Road, Instruction: Turn left onto Devonshire Road, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: Alexandra Road, Instruction: Turn right onto Alexandra Road, Distance: 236.9 meters, Time: 170.6 seconds
Name: Victoria Road, Instruction: Turn left onto Victoria Road, Distance: 8.9 meters, Time: 6.4 seconds
Name: Wilson Avenue, Instruction: Turn right onto Wilson Avenue, Distance: 196.0 meters, Time: 141.1 seconds
Name: Bordergate, Instruction: Turn right onto Bordergate, Distance: 147.3 meters, Time: 106.0 seconds
Name: Steers Mead, Instruction: Turn slight right onto Steers Mead, Distance: 155.5 meters, Time: 112.0 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 248.9 meters, Time: 179.2 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Bond Road, Instruction: Turn right onto Bond Road, Distance: 104.8 meters, Time: 75.5 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Turn slight left, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Turn right, Distance: 168.3 meters, Time: 121.2 seconds
Name: -, Instruction: Keep right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 138.7 meters, Time: 99.9 seconds
Name: -, Instruction: Continue straight, Distance: 5.9 meters, Time: 4.2 seconds
Name: London Road, Instruction: Turn right onto London Road, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: London Road, A217, Instruction: Turn right onto London Road, A217, Distance: 16.8 meters, Time: 12.1 seconds
Name: London Road, A217, Instruction: Keep left onto London Road, A217, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Arrive at London Road, A217, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
