Name: Queen's Park, Instruction: Head northeast on Queen's Park, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 153.3 meters, Time: 110.4 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Keep right, Distance: 91.2 meters, Time: 65.7 seconds
Name: -, Instruction: Turn right, Distance: 6.8 meters, Time: 4.9 seconds
Name: Hart House Circle, Instruction: Turn left onto Hart House Circle, Distance: 18.3 meters, Time: 13.2 seconds
Name: King's College Circle, Instruction: Turn slight left onto King's College Circle, Distance: 176.2 meters, Time: 126.9 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Keep left, Distance: 64.1 meters, Time: 46.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Galbraith Road, Instruction: Turn right onto Galbraith Road, Distance: 57.3 meters, Time: 41.3 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
