Name: Little Dorrit Court, Instruction: Head southeast on Little Dorrit Court, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 90.6 meters, Time: 65.2 seconds
Name: Disney Street, Instruction: Turn left onto Disney Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: Disney Place, Instruction: Continue straight onto Disney Place, Distance: 36.8 meters, Time: 26.5 seconds
Name: Marshalsea Road, A3201, Instruction: Turn right onto Marshalsea Road, A3201, Distance: 4.5 meters, Time: 3.2 seconds
Name: Sanctuary Street, Instruction: Turn left onto Sanctuary Street, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.3 seconds
Name: -, Instruction: Turn slight right, Distance: 202.9 meters, Time: 146.1 seconds
Name: -, Instruction: Keep left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 469.0 meters, Time: 337.7 seconds
Name: -, Instruction: Turn left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 47.7 meters, Time: 34.3 seconds
Name: Oswin Street, Instruction: Turn left onto Oswin Street, Distance: 191.2 meters, Time: 137.7 seconds
Name: Brook Drive, Instruction: Turn right onto Brook Drive, Distance: 21.3 meters, Time: 15.3 seconds
Name: Churchyard Row, Instruction: Turn left onto Churchyard Row, Distance: 36.6 meters, Time: 26.4 seconds
Name: Longville Road, Instruction: Turn right onto Longville Road, Distance: 78.6 meters, Time: 56.6 seconds
Name: Dante Road, Instruction: Turn left onto Dante Road, Distance: 60.3 meters, Time: 43.4 seconds
Name: George Mathers Road, Instruction: Turn right onto George Mathers Road, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Continue straight, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
