Name: Wildtaubenweg, Instruction: Head east on Wildtaubenweg, Distance: 76.0 meters, Time: 54.7 seconds
Name: Wildanger, Instruction: Turn right onto Wildanger, Distance: 284.0 meters, Time: 204.5 seconds
Name: Eichenstraße, Instruction: Turn left onto Eichenstraße, Distance: 22.3 meters, Time: 16.1 seconds
Name: Am Sommerfeld, Instruction: Turn right onto Am Sommerfeld, Distance: 276.2 meters, Time: 198.8 seconds
Name: Gräfelfinger Straße, Instruction: Turn left onto Gräfelfinger Straße, Distance: 4.4 meters, Time: 3.1 seconds
Name: Am Sommerfeld, Instruction: Turn right onto Am Sommerfeld, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 174.4 meters, Time: 125.6 seconds
Name: Sauerbruchstraße, Instruction: Turn sharp right onto Sauerbruchstraße, Distance: 27.4 meters, Time: 19.7 seconds
Name: Sauerbruchstraße, Instruction: Turn slight left onto Sauerbruchstraße, Distance: 228.8 meters, Time: 164.7 seconds
Name: Marchioninistraße, Instruction: Turn left onto Marchioninistraße, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 740.7 meters, Time: 533.3 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn slight right, Distance: 131.0 meters, Time: 94.3 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
