Name: Leuty Avenue, Instruction: Head north on Leuty Avenue, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 105.8 meters, Time: 76.2 seconds
Name: -, Instruction: Turn slight right, Distance: 110.1 meters, Time: 79.2 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 123.3 meters, Time: 88.8 seconds
Name: -, Instruction: Turn slight left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 311.0 meters, Time: 223.9 seconds
Name: -, Instruction: Turn right, Distance: 292.4 meters, Time: 210.5 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Norway Avenue, Instruction: Turn left onto Norway Avenue, Distance: 46.3 meters, Time: 33.3 seconds
Name: Haslett Avenue, Instruction: Turn right onto Haslett Avenue, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 206.7 meters, Time: 148.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
