Name: Waltherstraße, Instruction: Head west on Waltherstraße, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Turn right, Distance: 32.5 meters, Time: 23.4 seconds
Name: Lindwurmstraße, Instruction: Turn left onto Lindwurmstraße, Distance: 92.2 meters, Time: 66.4 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 257.4 meters, Time: 185.3 seconds
Name: Hermann-Schmid-Straße, Instruction: Turn right onto Hermann-Schmid-Straße, Distance: 165.5 meters, Time: 119.2 seconds
Name: -, Instruction: Turn left, Distance: 134.1 meters, Time: 96.5 seconds
Name: Stielerstraße, Instruction: Turn right onto Stielerstraße, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Continue straight, Distance: 438.9 meters, Time: 316.0 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Keep left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: Hans-Fischer-Straße, Instruction: Turn right onto Hans-Fischer-Straße, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
