Name: Willow Avenue, Instruction: Head north on Willow Avenue, Distance: 399.3 meters, Time: 287.5 seconds
Name: Balsam Avenue, Instruction: Continue straight onto Balsam Avenue, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 108.3 meters, Time: 78.0 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 158.9 meters, Time: 114.4 seconds
Name: -, Instruction: Keep left, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn right, Distance: 163.7 meters, Time: 117.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 304.9 meters, Time: 219.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.3 meters, Time: 3.9 seconds
Name: Lyall Avenue, Instruction: Turn left onto Lyall Avenue, Distance: 8.7 meters, Time: 6.3 seconds
Name: Main Street, Instruction: Turn left onto Main Street, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 43.8 meters, Time: 31.5 seconds
Name: -, Instruction: Keep left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: Benlamond Avenue, Instruction: Turn left onto Benlamond Avenue, Distance: 263.2 meters, Time: 189.5 seconds
Name: Norwood Road, Instruction: Turn right onto Norwood Road, Distance: 81.2 meters, Time: 58.5 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight right, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: Norwood Park Trail, Instruction: Turn left onto Norwood Park Trail, Distance: 90.6 meters, Time: 65.2 seconds
Name: Norwood Park Trail, Instruction: Keep right onto Norwood Park Trail, Distance: 5.4 meters, Time: 3.9 seconds
Name: Norwood Park Trail, Instruction: Continue straight onto Norwood Park Trail, Distance: 105.4 meters, Time: 75.9 seconds
Name: Kildonan Road, Instruction: Turn right onto Kildonan Road, Distance: 139.2 meters, Time: 100.2 seconds
Name: Costain Avenue, Instruction: Turn left onto Costain Avenue, Distance: 115.7 meters, Time: 83.3 seconds
Name: -, Instruction: Arrive at Costain Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
