Name: Aros Close, Instruction: Head west on Aros Close, Distance: 35.3 meters, Time: 25.4 seconds
Name: Arundel Road, Instruction: Turn left onto Arundel Road, Distance: 162.7 meters, Time: 117.1 seconds
Name: Balmoral Road, Instruction: Turn right onto Balmoral Road, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn left, Distance: 52.3 meters, Time: 37.6 seconds
Name: -, Instruction: Keep right, Distance: 161.7 meters, Time: 116.4 seconds
Name: -, Instruction: Turn right, Distance: 58.2 meters, Time: 41.9 seconds
Name: Coral Road, Instruction: Turn left onto Coral Road, Distance: 106.4 meters, Time: 76.6 seconds
Name: Shell Road, Instruction: Turn right onto Shell Road, Distance: 198.4 meters, Time: 142.8 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 1161.3 meters, Time: 836.1 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
