Name: Mitta Way, Instruction: Head east on Mitta Way, Distance: 67.3 meters, Time: 48.4 seconds
Name: Ulmara Avenue, Instruction: Turn left onto Ulmara Avenue, Distance: 228.5 meters, Time: 164.5 seconds
Name: Amarco Circuit, Instruction: Turn right onto Amarco Circuit, Distance: 33.6 meters, Time: 24.2 seconds
Name: Amarco Circuit, Instruction: Turn left onto Amarco Circuit, Distance: 408.0 meters, Time: 293.8 seconds
Name: -, Instruction: Turn left, Distance: 70.0 meters, Time: 50.4 seconds
Name: Schofields Road cycleway, Instruction: Turn right onto Schofields Road cycleway, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 530.1 meters, Time: 381.7 seconds
Name: -, Instruction: Keep left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 186.1 meters, Time: 134.0 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: Cudgegong Road, Instruction: Turn right onto Cudgegong Road, Distance: 28.3 meters, Time: 20.3 seconds
Name: Rouse Road, Instruction: Turn sharp right onto Rouse Road, Distance: 109.6 meters, Time: 78.9 seconds
Name: Mulyan Street, Instruction: Turn sharp left onto Mulyan Street, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
