Name: Chenies Mews, Instruction: Head northeast on Chenies Mews, Distance: 290.6 meters, Time: 209.3 seconds
Name: Ridgmount Gardens, Instruction: Continue straight onto Ridgmount Gardens, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 231.4 meters, Time: 166.6 seconds
Name: -, Instruction: Keep right, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Keep left, Distance: 201.8 meters, Time: 145.3 seconds
Name: -, Instruction: Turn left, Distance: 105.2 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn slight left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
