Name: Sipres Avenue, Instruction: Head northwest on Sipres Avenue, Distance: 287.9 meters, Time: 207.3 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Keep left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 433.9 meters, Time: 312.4 seconds
Name: -, Instruction: Turn right, Distance: 131.4 meters, Time: 94.6 seconds
Name: Malamba Way, Instruction: Turn right onto Malamba Way, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn left, Distance: 272.0 meters, Time: 195.9 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: Malamba Way, Instruction: Turn right onto Malamba Way, Distance: 177.2 meters, Time: 127.6 seconds
Name: Tiyo Soga Road, Instruction: Turn right onto Tiyo Soga Road, Distance: 39.8 meters, Time: 28.6 seconds
Name: Enoch Sontonga Way, Instruction: Turn left onto Enoch Sontonga Way, Distance: 490.6 meters, Time: 353.2 seconds
Name: Elijah Barayi Road, Instruction: Turn left onto Elijah Barayi Road, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn left, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: Rita Toto Way, Instruction: Turn right onto Rita Toto Way, Distance: 182.1 meters, Time: 131.1 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Keep right, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
