Name: Avenida Lúcio Costa, Instruction: Head east on Avenida Lúcio Costa, Distance: 18.3 meters, Time: 13.2 seconds
Name: Rua Marechal Olímpio Falconieri, Instruction: Turn left onto Rua Marechal Olímpio Falconieri, Distance: 252.6 meters, Time: 181.9 seconds
Name: -, Instruction: Continue straight, Distance: 820.0 meters, Time: 590.4 seconds
Name: Rua Vicente Scofano, Instruction: Turn right onto Rua Vicente Scofano, Distance: 89.7 meters, Time: 64.6 seconds
Name: Rua Malba Tahan, Instruction: Turn left onto Rua Malba Tahan, Distance: 140.6 meters, Time: 101.2 seconds
Name: Rua Nelson Tarquinio, Instruction: Turn right onto Rua Nelson Tarquinio, Distance: 200.2 meters, Time: 144.1 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.2 seconds
Name: Avenida das Américas, Instruction: Turn left onto Avenida das Américas, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn right, Distance: 91.6 meters, Time: 66.0 seconds
Name: Estrada Benvindo de Novaes, Instruction: Turn right onto Estrada Benvindo de Novaes, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Keep right, Distance: 316.0 meters, Time: 227.5 seconds
Name: -, Instruction: Keep left, Distance: 39.2 meters, Time: 28.3 seconds
Name: Estrada Benvindo de Novaes, Instruction: Turn right onto Estrada Benvindo de Novaes, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 140.6 meters, Time: 101.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
