Name: Petersham Road, Instruction: Head south on Petersham Road, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Turn left, Distance: 98.8 meters, Time: 71.2 seconds
Name: Warburton Street, Instruction: Turn right onto Warburton Street, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Turn left, Distance: 152.1 meters, Time: 109.5 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Keep right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Jersey Street, Instruction: Turn slight right onto Jersey Street, Distance: 93.6 meters, Time: 67.4 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
