Name: Glenholme Avenue, Instruction: Head south on Glenholme Avenue, Distance: 185.9 meters, Time: 133.8 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Rosemount Avenue, Instruction: Turn right onto Rosemount Avenue, Distance: 367.2 meters, Time: 264.4 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 134.9 meters, Time: 97.1 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 197.3 meters, Time: 142.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: Auburn Avenue, Instruction: Turn right onto Auburn Avenue, Distance: 72.7 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 93.4 meters, Time: 67.2 seconds
Name: Peterborough Avenue, Instruction: Turn right onto Peterborough Avenue, Distance: 6.0 meters, Time: 4.4 seconds
Name: Greenlaw Avenue, Instruction: Turn left onto Greenlaw Avenue, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 114.8 meters, Time: 82.7 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: St. Clarens Avenue, Instruction: Turn left onto St. Clarens Avenue, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 55.2 meters, Time: 39.8 seconds
Name: -, Instruction: Keep left, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 163.5 meters, Time: 117.7 seconds
Name: -, Instruction: Keep left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
