Name: Tulpenweg, Instruction: Head west on Tulpenweg, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 54.4 meters, Time: 39.1 seconds
Name: Rosenweg, Instruction: Turn slight right onto Rosenweg, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.8 seconds
Name: Am Hasenrain, Instruction: Turn right onto Am Hasenrain, Distance: 412.4 meters, Time: 297.0 seconds
Name: Kufsteiner Straße, Instruction: Turn left onto Kufsteiner Straße, Distance: 514.5 meters, Time: 370.5 seconds
Name: Aggensteinstraße, Instruction: Continue straight onto Aggensteinstraße, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn left, Distance: 412.5 meters, Time: 297.0 seconds
Name: -, Instruction: Continue straight, Distance: 6.0 meters, Time: 4.3 seconds
Name: Wallbergstraße, Instruction: Turn left onto Wallbergstraße, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn right, Distance: 62.8 meters, Time: 45.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 82.1 meters, Time: 59.1 seconds
Name: Wettersteinring, Instruction: Turn left onto Wettersteinring, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 178.9 meters, Time: 128.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 119.4 meters, Time: 86.0 seconds
Name: Lovis-Corinth-Straße, Instruction: Turn right onto Lovis-Corinth-Straße, Distance: 30.6 meters, Time: 22.0 seconds
Name: Max-Feldbauer-Weg, Instruction: Turn left onto Max-Feldbauer-Weg, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Arrive at Max-Feldbauer-Weg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
