Name: شارع عبد العزيز يوسف, Instruction: Head west on شارع عبد العزيز يوسف, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: شارع الهدي المحمدي, Instruction: Turn left onto شارع الهدي المحمدي, Distance: 311.1 meters, Time: 224.0 seconds
Name: -, Instruction: Turn left, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 158.7 meters, Time: 114.3 seconds
Name: -, Instruction: Turn right, Distance: 48.7 meters, Time: 35.1 seconds
Name: -, Instruction: Turn right, Distance: 32.4 meters, Time: 23.3 seconds
Name: محور عدلى منصور, Instruction: Turn sharp left onto محور عدلى منصور, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 93.1 meters, Time: 67.0 seconds
Name: شارع طلمبات الخزان, Instruction: Turn left onto شارع طلمبات الخزان, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
