Name: Greenwood Avenue, Instruction: Head south on Greenwood Avenue, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 148.0 meters, Time: 106.6 seconds
Name: Sunset Avenue, Instruction: Turn right onto Sunset Avenue, Distance: 135.3 meters, Time: 97.4 seconds
Name: Cassia Drive, Instruction: Turn left onto Cassia Drive, Distance: 258.5 meters, Time: 186.1 seconds
Name: Oriole Crescent, Instruction: Turn left onto Oriole Crescent, Distance: 55.0 meters, Time: 39.6 seconds
Name: Ash Grove, Instruction: Turn sharp right onto Ash Grove, Distance: 67.4 meters, Time: 48.5 seconds
Name: Linden Drive, Instruction: Turn slight right onto Linden Drive, Distance: 53.7 meters, Time: 38.7 seconds
Name: Vanda Road, Instruction: Keep left onto Vanda Road, Distance: 132.2 meters, Time: 95.2 seconds
Name: Vanda Road, Instruction: Turn slight left onto Vanda Road, Distance: 298.8 meters, Time: 215.1 seconds
Name: Vanda Road, Instruction: Continue straight onto Vanda Road, Distance: 293.7 meters, Time: 211.4 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: Turf Club Road, Instruction: Turn left onto Turf Club Road, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 62.2 meters, Time: 44.8 seconds
Name: -, Instruction: Turn slight right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 134.1 meters, Time: 96.5 seconds
Name: Anamalai Avenue, Instruction: Turn sharp right onto Anamalai Avenue, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at Anamalai Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
