Name: Bush View Place, Instruction: Head east on Bush View Place, Distance: 164.9 meters, Time: 118.7 seconds
Name: Golden Avenue, Instruction: Turn left onto Golden Avenue, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn right, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: Flat Bush School Shared Path, Instruction: Continue straight onto Flat Bush School Shared Path, Distance: 15.2 meters, Time: 10.9 seconds
Name: Flat Bush School Shared Path, Instruction: Turn right onto Flat Bush School Shared Path, Distance: 14.1 meters, Time: 10.2 seconds
Name: Flat Bush School Shared Path, Instruction: Keep left onto Flat Bush School Shared Path, Distance: 32.9 meters, Time: 23.7 seconds
Name: Koropa Road, Instruction: Turn left onto Koropa Road, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
