Name: St Peter's Road, Instruction: Head west on St Peter's Road, Distance: 47.2 meters, Time: 34.0 seconds
Name: Saint Peter's Grove, Instruction: Turn right onto Saint Peter's Grove, Distance: 52.1 meters, Time: 37.5 seconds
Name: St Peter's Grove, Instruction: Turn left onto St Peter's Grove, Distance: 43.3 meters, Time: 31.2 seconds
Name: Black Lion Lane, Instruction: Turn right onto Black Lion Lane, Distance: 39.5 meters, Time: 28.4 seconds
Name: St Peter's Villas, Instruction: Turn left onto St Peter's Villas, Distance: 73.7 meters, Time: 53.0 seconds
Name: St Peter's Square, Instruction: Continue straight onto St Peter's Square, Distance: 66.1 meters, Time: 47.6 seconds
Name: St Peter's Square, Instruction: Turn right onto St Peter's Square, Distance: 85.4 meters, Time: 61.5 seconds
Name: King Street, Instruction: Turn left onto King Street, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 44.1 meters, Time: 31.8 seconds
Name: Chiswick High Road, Instruction: Turn left onto Chiswick High Road, Distance: 227.0 meters, Time: 163.5 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 176.3 meters, Time: 127.0 seconds
Name: -, Instruction: Turn slight left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn slight right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Continue straight, Distance: 477.8 meters, Time: 344.0 seconds
Name: -, Instruction: Turn right, Distance: 41.9 meters, Time: 30.2 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.4 seconds
Name: Linden Gardens, Instruction: Turn right onto Linden Gardens, Distance: 9.6 meters, Time: 6.9 seconds
Name: Chiswick High Road, A315, Instruction: Turn left onto Chiswick High Road, A315, Distance: 35.0 meters, Time: 25.2 seconds
Name: Fisher's Lane, Instruction: Turn right onto Fisher's Lane, Distance: 99.3 meters, Time: 71.5 seconds
Name: Arnott Close, Instruction: Turn left onto Arnott Close, Distance: 68.7 meters, Time: 49.4 seconds
Name: Arnott Close, Instruction: Turn right onto Arnott Close, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
