Name: Geoffrey Street, Instruction: Head east on Geoffrey Street, Distance: 84.8 meters, Time: 61.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn slight right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 177.0 meters, Time: 127.5 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 40.9 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 70.2 meters, Time: 50.5 seconds
Name: Parkway Avenue, Instruction: Turn left onto Parkway Avenue, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Turn right, Distance: 139.8 meters, Time: 100.7 seconds
Name: -, Instruction: Turn slight right, Distance: 78.8 meters, Time: 56.8 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Columbus Avenue, Instruction: Turn right onto Columbus Avenue, Distance: 48.5 meters, Time: 34.9 seconds
Name: Sorauren Avenue, Instruction: Turn left onto Sorauren Avenue, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 252.7 meters, Time: 182.0 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 145.1 meters, Time: 104.5 seconds
Name: -, Instruction: Keep right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Keep right, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: St. Clarens Avenue, Instruction: Turn left onto St. Clarens Avenue, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 142.7 meters, Time: 102.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
