Name: Paul-Wassermann-Straße, Instruction: Head south on Paul-Wassermann-Straße, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 251.7 meters, Time: 181.2 seconds
Name: -, Instruction: Turn slight left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Keep left, Distance: 14.1 meters, Time: 10.2 seconds
Name: -, Instruction: Keep left, Distance: 368.4 meters, Time: 265.2 seconds
Name: Leonhardiweg, Instruction: Turn left onto Leonhardiweg, Distance: 178.5 meters, Time: 128.5 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn right, Distance: 71.9 meters, Time: 51.7 seconds
Name: -, Instruction: Turn left, Distance: 92.4 meters, Time: 66.5 seconds
Name: Linnenbrüggerstraße, Instruction: Turn left onto Linnenbrüggerstraße, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 383.3 meters, Time: 276.0 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
