Name: Victoria Park Avenue, Instruction: Head south on Victoria Park Avenue, Distance: 41.6 meters, Time: 30.0 seconds
Name: Bracken Avenue, Instruction: Turn right onto Bracken Avenue, Distance: 235.9 meters, Time: 169.8 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 198.7 meters, Time: 143.1 seconds
Name: -, Instruction: Turn left, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Keep right, Distance: 78.0 meters, Time: 56.1 seconds
Name: -, Instruction: Keep left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight left, Distance: 186.0 meters, Time: 134.0 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 246.3 meters, Time: 177.3 seconds
Name: -, Instruction: Keep right, Distance: 100.7 meters, Time: 72.5 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep left, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Glen Manor Drive East, Instruction: Turn left onto Glen Manor Drive East, Distance: 15.0 meters, Time: 10.8 seconds
Name: Glen Manor Drive East, Instruction: Turn slight right onto Glen Manor Drive East, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Arrive at Glen Manor Drive East, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
