Name: Avenue Junot, Instruction: Head southwest on Avenue Junot, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 157.4 meters, Time: 113.3 seconds
Name: Impasse Girardon, Instruction: Turn right onto Impasse Girardon, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Rue Lepic, Instruction: Turn left onto Rue Lepic, Distance: 106.6 meters, Time: 76.8 seconds
Name: Place Jean-Baptiste Clément, Instruction: Keep right onto Place Jean-Baptiste Clément, Distance: 56.5 meters, Time: 40.7 seconds
Name: Rue Gabrielle, Instruction: Turn slight left onto Rue Gabrielle, Distance: 139.1 meters, Time: 100.1 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.8 meters, Time: 2.8 seconds
Name: Rue Drevet, Instruction: Turn right onto Rue Drevet, Distance: 42.6 meters, Time: 30.7 seconds
Name: Rue Drevet, Instruction: Continue straight onto Rue Drevet, Distance: 41.1 meters, Time: 29.6 seconds
Name: Rue des Trois Frères, Instruction: Turn left onto Rue des Trois Frères, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 124.1 meters, Time: 89.3 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 51.2 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 100.9 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
