Name: Maltings Place, Instruction: Head east on Maltings Place, Distance: 3.7 meters, Time: 2.7 seconds
Name: Roper Lane, Instruction: Turn right onto Roper Lane, Distance: 9.1 meters, Time: 6.6 seconds
Name: Roper Lane, Instruction: Keep left onto Roper Lane, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 197.1 meters, Time: 141.9 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: Tooley Street, Instruction: Turn right onto Tooley Street, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: Queen Elizabeth Street, Instruction: Turn right onto Queen Elizabeth Street, Distance: 544.3 meters, Time: 391.9 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.9 seconds
Name: Tower Bridge Approach, Instruction: Turn left onto Tower Bridge Approach, Distance: 184.1 meters, Time: 132.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: St. Katharine's Way, Instruction: Turn left onto St. Katharine's Way, Distance: 6.5 meters, Time: 4.6 seconds
Name: St. Katharine's Way, Instruction: Keep right onto St. Katharine's Way, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 143.0 meters, Time: 102.9 seconds
Name: -, Instruction: Turn right, Distance: 121.2 meters, Time: 87.2 seconds
Name: Mansell Street, Instruction: Continue straight onto Mansell Street, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.1 meters, Time: 11.6 seconds
Name: Mansell Street, Instruction: Turn left onto Mansell Street, Distance: 200.9 meters, Time: 144.6 seconds
Name: -, Instruction: Turn left, Distance: 153.4 meters, Time: 110.4 seconds
Name: Whitechapel High Street, Instruction: Keep right onto Whitechapel High Street, Distance: 131.6 meters, Time: 94.7 seconds
Name: -, Instruction: Turn left, Distance: 39.7 meters, Time: 28.5 seconds
Name: Whitechapel High Street, Instruction: Turn right onto Whitechapel High Street, Distance: 187.5 meters, Time: 135.0 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.6 seconds
Name: Commercial Street, Instruction: Turn left onto Commercial Street, Distance: 196.7 meters, Time: 141.7 seconds
Name: -, Instruction: Arrive at Commercial Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
