Name: Rue de Dunkerque, Instruction: Head southeast on Rue de Dunkerque, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Keep left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 171.7 meters, Time: 123.6 seconds
Name: Rue Ambroise Paré, Instruction: Turn right onto Rue Ambroise Paré, Distance: 0.5 meters, Time: 0.3 seconds
Name: Rue Ambroise Paré, Instruction: Keep left onto Rue Ambroise Paré, Distance: 16.0 meters, Time: 11.5 seconds
Name: Rue de Maubeuge, Instruction: Turn slight left onto Rue de Maubeuge, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 279.3 meters, Time: 201.1 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 211.5 meters, Time: 152.3 seconds
Name: -, Instruction: Turn right, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 37.0 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 61.0 meters, Time: 43.9 seconds
Name: -, Instruction: Turn slight left, Distance: 134.9 meters, Time: 97.1 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: Rue Philippe de Girard, Instruction: Turn left onto Rue Philippe de Girard, Distance: 35.8 meters, Time: 25.8 seconds
Name: Rue Pajol, Instruction: Keep right onto Rue Pajol, Distance: 175.0 meters, Time: 126.0 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 245.2 meters, Time: 176.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn slight left, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn slight left, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 142.5 meters, Time: 102.6 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
