Name: Caddies Boulevarde, Instruction: Head northwest on Caddies Boulevarde, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 345.5 meters, Time: 248.8 seconds
Name: -, Instruction: Continue straight, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Keep right, Distance: 274.8 meters, Time: 197.9 seconds
Name: -, Instruction: Turn right, Distance: 209.4 meters, Time: 150.7 seconds
Name: -, Instruction: Turn right, Distance: 163.0 meters, Time: 117.3 seconds
Name: -, Instruction: Keep left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Continue straight, Distance: 132.4 meters, Time: 95.3 seconds
Name: -, Instruction: Turn slight right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn slight left, Distance: 314.3 meters, Time: 226.3 seconds
Name: -, Instruction: Keep right, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Turn left, Distance: 308.6 meters, Time: 222.2 seconds
Name: -, Instruction: Turn slight right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn slight left, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 154.4 meters, Time: 111.1 seconds
Name: -, Instruction: Keep right, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
