Name: West 45th Avenue, Instruction: Head northeast on West 45th Avenue, Distance: 117.3 meters, Time: 84.5 seconds
Name: -, Instruction: Turn right, Distance: 199.4 meters, Time: 143.5 seconds
Name: West 44th Avenue, Instruction: Turn left onto West 44th Avenue, Distance: 33.7 meters, Time: 24.3 seconds
Name: Cherokee Street, Instruction: Turn right onto Cherokee Street, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 300.8 meters, Time: 216.6 seconds
Name: -, Instruction: Keep left, Distance: 185.7 meters, Time: 133.7 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 185.2 meters, Time: 133.4 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
