Name: Farrow Lane, Instruction: Head southeast on Farrow Lane, Distance: 66.7 meters, Time: 48.0 seconds
Name: Zuttion Lane, Instruction: Turn right onto Zuttion Lane, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 420.7 meters, Time: 302.9 seconds
Name: -, Instruction: Keep left, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Continue straight, Distance: 226.9 meters, Time: 163.3 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 65.2 meters, Time: 46.9 seconds
Name: -, Instruction: Keep left, Distance: 39.1 meters, Time: 28.1 seconds
Name: -, Instruction: Keep left, Distance: 150.1 meters, Time: 108.0 seconds
Name: Brodie Spark Drive, Instruction: Turn left onto Brodie Spark Drive, Distance: 18.6 meters, Time: 13.4 seconds
Name: Magdalene Terrace, Instruction: Enter the roundabout and take the 1st exit onto Magdalene Terrace, Distance: 168.8 meters, Time: 121.5 seconds
Name: Mount Olympus Boulevarde, Instruction: Keep left onto Mount Olympus Boulevarde, Distance: 9.1 meters, Time: 6.5 seconds
Name: Mount Olympus Boulevarde, Instruction: Turn slight left onto Mount Olympus Boulevarde, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: Mount Olympus Boulevarde, Instruction: Turn left onto Mount Olympus Boulevarde, Distance: 153.2 meters, Time: 110.3 seconds
Name: Guess Avenue, Instruction: Turn slight right onto Guess Avenue, Distance: 172.6 meters, Time: 124.3 seconds
Name: Bonar Street, Instruction: Turn sharp right onto Bonar Street, Distance: 61.4 meters, Time: 44.2 seconds
Name: Lusty Street, Instruction: Turn sharp left onto Lusty Street, Distance: 140.2 meters, Time: 100.9 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 36.3 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
