Name: Kallang Sector, Instruction: Head southeast on Kallang Sector, Distance: 184.8 meters, Time: 133.1 seconds
Name: -, Instruction: Keep right, Distance: 148.6 meters, Time: 107.0 seconds
Name: -, Instruction: Turn left, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Keep right, Distance: 253.7 meters, Time: 182.6 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn slight right, Distance: 329.3 meters, Time: 237.1 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Keep left, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Keep left, Distance: 231.6 meters, Time: 166.7 seconds
Name: -, Instruction: Turn left, Distance: 99.0 meters, Time: 71.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 268.7 meters, Time: 193.5 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 91.2 meters, Time: 65.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn right, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: Lorong 19 Geylang, Instruction: Turn right onto Lorong 19 Geylang, Distance: 138.7 meters, Time: 99.9 seconds
Name: Lorong Bachok, Instruction: Turn left onto Lorong Bachok, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Arrive at Lorong Bachok, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
