Name: Nigerstraße, Instruction: Head south on Nigerstraße, Distance: 58.4 meters, Time: 42.0 seconds
Name: Schneckenburgerstraße, Instruction: Continue straight onto Schneckenburgerstraße, Distance: 33.0 meters, Time: 23.7 seconds
Name: Schneckenburgerstraße, Instruction: Turn right onto Schneckenburgerstraße, Distance: 7.6 meters, Time: 5.5 seconds
Name: Walter-Heerde-Weg, Instruction: Turn left onto Walter-Heerde-Weg, Distance: 121.4 meters, Time: 87.4 seconds
Name: -, Instruction: Turn right, Distance: 252.2 meters, Time: 181.5 seconds
Name: Einsteinstraße, Instruction: Continue straight onto Einsteinstraße, Distance: 323.7 meters, Time: 233.0 seconds
Name: Maria-Theresia-Straße, Instruction: Turn left onto Maria-Theresia-Straße, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 68.6 meters, Time: 49.4 seconds
Name: -, Instruction: Keep right, Distance: 194.3 meters, Time: 139.9 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
