Name: Monastery Lane, Instruction: Head east on Monastery Lane, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Keep left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Keep right, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 739.1 meters, Time: 532.2 seconds
Name: -, Instruction: Turn left, Distance: 127.5 meters, Time: 91.8 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 55.0 seconds
Name: -, Instruction: Turn left, Distance: 148.2 meters, Time: 106.7 seconds
Name: -, Instruction: Turn right, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 230.5 meters, Time: 165.9 seconds
Name: -, Instruction: Turn left, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
