Name: Rue François Rabelais, Instruction: Head southeast on Rue François Rabelais, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Continue straight, Distance: 30.6 meters, Time: 22.1 seconds
Name: Allée de l'Arche, Instruction: Continue straight onto Allée de l'Arche, Distance: 57.7 meters, Time: 41.5 seconds
Name: Passerelle du Faubourg de l'Arche, Instruction: Turn slight left onto Passerelle du Faubourg de l'Arche, Distance: 89.1 meters, Time: 64.1 seconds
Name: Place Carpeaux, Instruction: Turn slight right onto Place Carpeaux, Distance: 38.4 meters, Time: 27.7 seconds
Name: Place Carpeaux, Instruction: Turn right onto Place Carpeaux, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Turn slight left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn left, Distance: 567.3 meters, Time: 408.4 seconds
Name: -, Instruction: Turn right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Turn right, Distance: 60.5 meters, Time: 43.6 seconds
Name: Esplanade du Général de Gaulle, Instruction: Turn left onto Esplanade du Général de Gaulle, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Continue straight, Distance: 26.5 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn slight left, Distance: 84.4 meters, Time: 60.8 seconds
Name: Cours Michelet, Instruction: Continue straight onto Cours Michelet, Distance: 162.3 meters, Time: 116.9 seconds
Name: Cours Michelet, Instruction: Turn slight left onto Cours Michelet, Distance: 40.5 meters, Time: 29.2 seconds
Name: Cours Michelet, Instruction: Continue straight onto Cours Michelet, Distance: 34.4 meters, Time: 24.8 seconds
Name: Cours Michelet, Instruction: Turn slight right onto Cours Michelet, Distance: 97.0 meters, Time: 69.8 seconds
Name: Passerelle Orme, Instruction: Turn left onto Passerelle Orme, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Bellini, Instruction: Turn right onto Rue Bellini, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Arrive at Rue Bellini, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
