Name: Rua Gelabert Simas, Instruction: Head southeast on Rua Gelabert Simas, Distance: 129.5 meters, Time: 93.2 seconds
Name: Rua Padre Peroneille, Instruction: Turn right onto Rua Padre Peroneille, Distance: 72.6 meters, Time: 52.3 seconds
Name: Rua Viana do Castelo, Instruction: Turn left onto Rua Viana do Castelo, Distance: 245.9 meters, Time: 177.0 seconds
Name: Rua Monsenhor Castelo Branco, Instruction: Turn slight left onto Rua Monsenhor Castelo Branco, Distance: 24.7 meters, Time: 17.8 seconds
Name: Rua Frederic Chopin, Instruction: Continue straight onto Rua Frederic Chopin, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 319.4 meters, Time: 230.0 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.8 seconds
Name: Rua Ministro Artur Costa, Instruction: Turn right onto Rua Ministro Artur Costa, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn slight left, Distance: 162.9 meters, Time: 117.3 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 103.0 meters, Time: 74.1 seconds
Name: -, Instruction: Keep left, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
