Name: Rue Navier, Instruction: Head east on Rue Navier, Distance: 330.9 meters, Time: 238.3 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: Rue Jean Leclaire, Instruction: Turn sharp right onto Rue Jean Leclaire, Distance: 8.9 meters, Time: 6.4 seconds
Name: Rue Arthur Brière, Instruction: Turn left onto Rue Arthur Brière, Distance: 276.2 meters, Time: 198.8 seconds
Name: Rue Jacques Cartier, Instruction: Turn right onto Rue Jacques Cartier, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn slight right, Distance: 91.3 meters, Time: 65.7 seconds
Name: -, Instruction: Turn slight left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: Rue Joseph de Maistre, Instruction: Turn right onto Rue Joseph de Maistre, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 145.9 meters, Time: 105.0 seconds
Name: Place Jacques Froment, Instruction: Turn left onto Place Jacques Froment, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Keep left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 117.3 meters, Time: 84.5 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: Rue Lamarck, Instruction: Turn left onto Rue Lamarck, Distance: 191.4 meters, Time: 137.8 seconds
Name: Square Caulaincourt, Instruction: Turn right onto Square Caulaincourt, Distance: 145.8 meters, Time: 105.0 seconds
Name: Rue Juste Métivier, Instruction: Continue straight onto Rue Juste Métivier, Distance: 10.1 meters, Time: 7.2 seconds
Name: Avenue Junot, Instruction: Turn slight right onto Avenue Junot, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 157.4 meters, Time: 113.3 seconds
Name: Impasse Girardon, Instruction: Turn right onto Impasse Girardon, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Avenue Junot, Instruction: Turn left onto Avenue Junot, Distance: 177.4 meters, Time: 127.7 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: Rue Poulbot, Instruction: Turn left onto Rue Poulbot, Distance: 2.0 meters, Time: 1.5 seconds
Name: Rue Norvins, Instruction: Turn right onto Rue Norvins, Distance: 97.2 meters, Time: 70.0 seconds
Name: Place Jean Marais, Instruction: Turn right onto Place Jean Marais, Distance: 6.8 meters, Time: 4.9 seconds
Name: Place Jean Marais, Instruction: Turn left onto Place Jean Marais, Distance: 27.4 meters, Time: 19.7 seconds
Name: Rue du Mont Cenis, Instruction: Turn right onto Rue du Mont Cenis, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
