Name: Grant Street, Instruction: Head north on Grant Street, Distance: 87.3 meters, Time: 62.9 seconds
Name: Kintyre Avenue, Instruction: Turn left onto Kintyre Avenue, Distance: 105.3 meters, Time: 75.8 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 204.9 meters, Time: 147.5 seconds
Name: -, Instruction: Turn left, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep left, Distance: 276.6 meters, Time: 199.1 seconds
Name: -, Instruction: Turn right, Distance: 69.7 meters, Time: 50.2 seconds
Name: Picking Coke Lane, Instruction: Turn right onto Picking Coke Lane, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.5 seconds
Name: -, Instruction: Turn right, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Keep left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Oak Street, Instruction: Turn left onto Oak Street, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 247.9 meters, Time: 178.5 seconds
Name: -, Instruction: Keep right, Distance: 2.7 meters, Time: 2.0 seconds
Name: River Street, Instruction: Turn left onto River Street, Distance: 33.5 meters, Time: 24.1 seconds
Name: River Street Trail, Instruction: Turn right onto River Street Trail, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Keep right, Distance: 61.5 meters, Time: 44.3 seconds
Name: Riverdale Park Crossing, Instruction: Turn left onto Riverdale Park Crossing, Distance: 12.7 meters, Time: 9.1 seconds
Name: Riverdale Park Crossing, Instruction: Keep right onto Riverdale Park Crossing, Distance: 215.3 meters, Time: 155.0 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Winchester Street, Instruction: Turn left onto Winchester Street, Distance: 7.5 meters, Time: 5.4 seconds
Name: Sumach Street, Instruction: Turn right onto Sumach Street, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Turn left, Distance: 60.1 meters, Time: 43.2 seconds
Name: Rawlings Avenue, Instruction: Turn right onto Rawlings Avenue, Distance: 3.7 meters, Time: 2.6 seconds
Name: Amelia Street, Instruction: Turn left onto Amelia Street, Distance: 37.7 meters, Time: 27.2 seconds
Name: Goatsbeard Lane, Instruction: Turn right onto Goatsbeard Lane, Distance: 50.6 meters, Time: 36.4 seconds
Name: O'Riordan Lane, Instruction: Turn left onto O'Riordan Lane, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Arrive at O'Riordan Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
