Name: Castlefield Avenue, Instruction: Head east on Castlefield Avenue, Distance: 1626.6 meters, Time: 1171.2 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 324.5 meters, Time: 233.7 seconds
Name: Duplex Avenue, Instruction: Turn left onto Duplex Avenue, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 105.5 meters, Time: 76.0 seconds
Name: -, Instruction: Keep left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn slight right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
