Name: Rue de Paris, Instruction: Head southeast on Rue de Paris, Distance: 562.0 meters, Time: 404.7 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 63.1 meters, Time: 45.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Turn right, Distance: 190.6 meters, Time: 137.2 seconds
Name: Rue André Suarès, Instruction: Turn right onto Rue André Suarès, Distance: 5.7 meters, Time: 4.1 seconds
Name: Rue André Suarès, Instruction: Turn left onto Rue André Suarès, Distance: 80.9 meters, Time: 58.3 seconds
Name: Boulevard Berthier, Instruction: Turn left onto Boulevard Berthier, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: Boulevard Berthier, Instruction: Turn right onto Boulevard Berthier, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.0 seconds
Name: Allée Lucie Dreyfus, Instruction: Turn left onto Allée Lucie Dreyfus, Distance: 83.7 meters, Time: 60.3 seconds
Name: Allée Clara Tolub, Instruction: Turn left onto Allée Clara Tolub, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 91.3 meters, Time: 65.8 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 24.0 meters, Time: 17.3 seconds
Name: Allée Lucie Dreyfus, Instruction: Turn left onto Allée Lucie Dreyfus, Distance: 63.5 meters, Time: 45.7 seconds
Name: Allée Lucie Dreyfus, Instruction: Continue straight onto Allée Lucie Dreyfus, Distance: 104.3 meters, Time: 75.1 seconds
Name: Allée André François Bron De Bailly, Instruction: Turn right onto Allée André François Bron De Bailly, Distance: 105.6 meters, Time: 76.0 seconds
Name: Rue Mère Teresa, Instruction: Turn slight left onto Rue Mère Teresa, Distance: 181.7 meters, Time: 130.8 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: Rue Mère Teresa, Instruction: Turn left onto Rue Mère Teresa, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 114.9 meters, Time: 82.8 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
